UtteranceDataType,utterance,intent,agent_id,background_skill_id
GOLDEN_SET,tell me about sauna,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about steam bath,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about steam room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about cafe,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about coffee shop,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel cafe,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about pool,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about swimming pool,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about pools,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel swimming pool,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel pools,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel pool,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about business,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about business center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about business room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel business room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel business center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about conference,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about conference room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about conference center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about conferencing center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about meeting room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel conference center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel conferencing center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel conference center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel meeting room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about shop,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about souvenir shop,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about gift shop,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel shop,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel shopping center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel gift shop,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about bar,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about lounge,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel bar,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel pub,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel tavern,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about pub,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about restaurant,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about dining,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about chophouse,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about canteen,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about bistro,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about diner,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about grill,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel restaurant,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel chophouse,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel canteen,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel bistro,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel diner,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel grill,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about gym,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about fitness center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel fitness center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about fitness,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about workout center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about weight room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about workout room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about treadmills,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about weights,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about weight lifting room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel weight room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel workout center,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel workout room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel gym,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel weight lifting room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about ballroom,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about ball room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel ballroom,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about hotel ball room,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about concierge,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about front desk,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about spa,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about day spa,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about health club,GeneralPropertyFeatures,,
GOLDEN_SET,tell me about health spa,GeneralPropertyFeatures,,
GOLDEN_SET,where is the sauna,PropertyFeatureLocation,,
GOLDEN_SET,where is the steam bath,PropertyFeatureLocation,,
GOLDEN_SET,where is the steam room,PropertyFeatureLocation,,
GOLDEN_SET,where is the cafe,PropertyFeatureLocation,,
GOLDEN_SET,where is the coffee shop,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel cafe,PropertyFeatureLocation,,
GOLDEN_SET,where is the pool,PropertyFeatureLocation,,
GOLDEN_SET,where is the swimming pool,PropertyFeatureLocation,,
GOLDEN_SET,where is the pools,PropertyFeatureLocation,,
GOLDEN_SET,where is the swimming bath,PropertyFeatureLocation,,
GOLDEN_SET,where is the swimming hole,PropertyFeatureLocation,,
GOLDEN_SET,where is the swimmers pool,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel swimming pool,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel pools,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel pool,PropertyFeatureLocation,,
GOLDEN_SET,where is the business,PropertyFeatureLocation,,
GOLDEN_SET,where is the business center,PropertyFeatureLocation,,
GOLDEN_SET,where is the business room,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel business room,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel business center,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel copy room,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel printer room,PropertyFeatureLocation,,
GOLDEN_SET,where is the conference,PropertyFeatureLocation,,
GOLDEN_SET,where is the conference room,PropertyFeatureLocation,,
GOLDEN_SET,where is the conference center,PropertyFeatureLocation,,
GOLDEN_SET,where is the conferencing center,PropertyFeatureLocation,,
GOLDEN_SET,where is the meeting room,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel conference center,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel conferencing center,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel conference center,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel meeting room,PropertyFeatureLocation,,
GOLDEN_SET,where is the shop,PropertyFeatureLocation,,
GOLDEN_SET,where is the souvenir shop,PropertyFeatureLocation,,
GOLDEN_SET,where is the gift shop,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel shop,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel shopping center,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel souvenir shop,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel gift shop,PropertyFeatureLocation,,
GOLDEN_SET,where is the bar,PropertyFeatureLocation,,
GOLDEN_SET,where is the lounge,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel bar,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel pub,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel tavern,PropertyFeatureLocation,,
GOLDEN_SET,where is the tavern,PropertyFeatureLocation,,
GOLDEN_SET,where is the pub,PropertyFeatureLocation,,
GOLDEN_SET,where is the restaurant,PropertyFeatureLocation,,
GOLDEN_SET,where is the dining,PropertyFeatureLocation,,
GOLDEN_SET,where is the chophouse,PropertyFeatureLocation,,
GOLDEN_SET,where is the canteen,PropertyFeatureLocation,,
GOLDEN_SET,where is the bistro,PropertyFeatureLocation,,
GOLDEN_SET,where is the diner,PropertyFeatureLocation,,
GOLDEN_SET,where is the grill,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel restaurant,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel chophouse,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel canteen,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel bistro,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel diner,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel grill,PropertyFeatureLocation,,
GOLDEN_SET,where is the gym,PropertyFeatureLocation,,
GOLDEN_SET,where is the fitness center,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel fitness center,PropertyFeatureLocation,,
GOLDEN_SET,where is the fitness,PropertyFeatureLocation,,
GOLDEN_SET,where is the workout center,PropertyFeatureLocation,,
GOLDEN_SET,where is the weight room,PropertyFeatureLocation,,
GOLDEN_SET,where is the workout room,PropertyFeatureLocation,,
GOLDEN_SET,where is the treadmills,PropertyFeatureLocation,,
GOLDEN_SET,where is the weights,PropertyFeatureLocation,,
GOLDEN_SET,where is the weight lifting room,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel weight room,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel workout center,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel workout room,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel gym,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel weight lifting room,PropertyFeatureLocation,,
GOLDEN_SET,where is the ballroom,PropertyFeatureLocation,,
GOLDEN_SET,where is the ball room,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel ballroom,PropertyFeatureLocation,,
GOLDEN_SET,where is the hotel ball room,PropertyFeatureLocation,,
GOLDEN_SET,where is the concierge,PropertyFeatureLocation,,
GOLDEN_SET,where is the front desk,PropertyFeatureLocation,,
GOLDEN_SET,where is the spa,PropertyFeatureLocation,,
GOLDEN_SET,where is the day spa,PropertyFeatureLocation,,
GOLDEN_SET,where is the health club,PropertyFeatureLocation,,
GOLDEN_SET,where is the health spa,PropertyFeatureLocation,,
GOLDEN_SET,where is sauna,PropertyFeatureLocation,,
GOLDEN_SET,where is steam bath,PropertyFeatureLocation,,
GOLDEN_SET,where is steam room,PropertyFeatureLocation,,
GOLDEN_SET,where is cafe,PropertyFeatureLocation,,
GOLDEN_SET,where is coffee shop,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel cafe,PropertyFeatureLocation,,
GOLDEN_SET,where is pool,PropertyFeatureLocation,,
GOLDEN_SET,where is swimming pool,PropertyFeatureLocation,,
GOLDEN_SET,where is pools,PropertyFeatureLocation,,
GOLDEN_SET,where is swimming bath,PropertyFeatureLocation,,
GOLDEN_SET,where is swimming hole,PropertyFeatureLocation,,
GOLDEN_SET,where is swimmers pool,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel swimming pool,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel pools,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel pool,PropertyFeatureLocation,,
GOLDEN_SET,where is business,PropertyFeatureLocation,,
GOLDEN_SET,where is business center,PropertyFeatureLocation,,
GOLDEN_SET,where is business room,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel business room,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel business center,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel copy room,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel printer room,PropertyFeatureLocation,,
GOLDEN_SET,where is conference,PropertyFeatureLocation,,
GOLDEN_SET,where is conference room,PropertyFeatureLocation,,
GOLDEN_SET,where is conference center,PropertyFeatureLocation,,
GOLDEN_SET,where is conferencing center,PropertyFeatureLocation,,
GOLDEN_SET,where is meeting room,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel conference center,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel conferencing center,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel conference center,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel meeting room,PropertyFeatureLocation,,
GOLDEN_SET,where is shop,PropertyFeatureLocation,,
GOLDEN_SET,where is souvenir shop,PropertyFeatureLocation,,
GOLDEN_SET,where is gift shop,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel shop,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel shopping center,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel souvenir shop,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel gift shop,PropertyFeatureLocation,,
GOLDEN_SET,where is bar,PropertyFeatureLocation,,
GOLDEN_SET,where is lounge,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel bar,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel pub,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel tavern,PropertyFeatureLocation,,
GOLDEN_SET,where is tavern,PropertyFeatureLocation,,
GOLDEN_SET,where is pub,PropertyFeatureLocation,,
GOLDEN_SET,where is restaurant,PropertyFeatureLocation,,
GOLDEN_SET,where is dining,PropertyFeatureLocation,,
GOLDEN_SET,where is chophouse,PropertyFeatureLocation,,
GOLDEN_SET,where is canteen,PropertyFeatureLocation,,
GOLDEN_SET,where is bistro,PropertyFeatureLocation,,
GOLDEN_SET,where is diner,PropertyFeatureLocation,,
GOLDEN_SET,where is grill,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel restaurant,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel chophouse,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel canteen,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel bistro,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel diner,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel grill,PropertyFeatureLocation,,
GOLDEN_SET,where is gym,PropertyFeatureLocation,,
GOLDEN_SET,where is fitness center,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel fitness center,PropertyFeatureLocation,,
GOLDEN_SET,where is fitness,PropertyFeatureLocation,,
GOLDEN_SET,where is workout center,PropertyFeatureLocation,,
GOLDEN_SET,where is weight room,PropertyFeatureLocation,,
GOLDEN_SET,where is workout room,PropertyFeatureLocation,,
GOLDEN_SET,where is treadmills,PropertyFeatureLocation,,
GOLDEN_SET,where is weights,PropertyFeatureLocation,,
GOLDEN_SET,where is weight lifting room,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel weight room,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel workout center,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel workout room,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel gym,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel weight lifting room,PropertyFeatureLocation,,
GOLDEN_SET,where is ballroom,PropertyFeatureLocation,,
GOLDEN_SET,where is ball room,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel ballroom,PropertyFeatureLocation,,
GOLDEN_SET,where is hotel ball room,PropertyFeatureLocation,,
GOLDEN_SET,where is concierge,PropertyFeatureLocation,,
GOLDEN_SET,where is front desk,PropertyFeatureLocation,,
GOLDEN_SET,where is spa,PropertyFeatureLocation,,
GOLDEN_SET,where is day spa,PropertyFeatureLocation,,
GOLDEN_SET,where is health club,PropertyFeatureLocation,,
GOLDEN_SET,where is health spa,PropertyFeatureLocation,,
GOLDEN_SET,please checkout,CheckoutRequest,,
GOLDEN_SET,please check out,CheckoutRequest,,
GOLDEN_SET,please check me out,CheckoutRequest,,
GOLDEN_SET,checkout please,CheckoutRequest,,
GOLDEN_SET,check out please,CheckoutRequest,,
GOLDEN_SET,check me out please,CheckoutRequest,,
GOLDEN_SET,we would like to checkout,CheckoutRequest,,
GOLDEN_SET,we would like to check out,CheckoutRequest,,
GOLDEN_SET,we would like to check me out,CheckoutRequest,,
GOLDEN_SET,we want to checkout,CheckoutRequest,,
GOLDEN_SET,we want to check out,CheckoutRequest,,
GOLDEN_SET,we want to check me out,CheckoutRequest,,
GOLDEN_SET,i would like to checkout,CheckoutRequest,,
GOLDEN_SET,i would like to check out,CheckoutRequest,,
GOLDEN_SET,i would like to check me out,CheckoutRequest,,
GOLDEN_SET,i want to checkout,CheckoutRequest,,
GOLDEN_SET,i want to check out,CheckoutRequest,,
GOLDEN_SET,i want to check me out,CheckoutRequest,,
GOLDEN_SET,checkout request,CheckoutRequest,,
GOLDEN_SET,check out request,CheckoutRequest,,
GOLDEN_SET,check me out request,CheckoutRequest,,
GOLDEN_SET,checkout,CheckoutRequest,,
GOLDEN_SET,check out,CheckoutRequest,,
GOLDEN_SET,check me out,CheckoutRequest,,
GOLDEN_SET,checkout now,CheckoutRequest,,
GOLDEN_SET,check out now,CheckoutRequest,,
GOLDEN_SET,check me out now,CheckoutRequest,,
GOLDEN_SET,can i checkout,CheckoutRequest,,
GOLDEN_SET,can i check out,CheckoutRequest,,
GOLDEN_SET,can i check me out,CheckoutRequest,,
GOLDEN_SET,please can i checkout,CheckoutRequest,,
GOLDEN_SET,please can i check out,CheckoutRequest,,
GOLDEN_SET,please can i check me out,CheckoutRequest,,
GOLDEN_SET,can we checkout,CheckoutRequest,,
GOLDEN_SET,can we check out,CheckoutRequest,,
GOLDEN_SET,can we check me out,CheckoutRequest,,
GOLDEN_SET,please can we checkout,CheckoutRequest,,
GOLDEN_SET,please can we check out,CheckoutRequest,,
GOLDEN_SET,please can we check me out,CheckoutRequest,,
GOLDEN_SET,can you help me checkout,CheckoutRequest,,
GOLDEN_SET,can you help me check out,CheckoutRequest,,
GOLDEN_SET,can you help me check me out,CheckoutRequest,,
GOLDEN_SET,please can you help me checkout,CheckoutRequest,,
GOLDEN_SET,please can you help me check out,CheckoutRequest,,
GOLDEN_SET,please can you help me check me out,CheckoutRequest,,
GOLDEN_SET,could i checkout,CheckoutRequest,,
GOLDEN_SET,could i check out,CheckoutRequest,,
GOLDEN_SET,could i check me out,CheckoutRequest,,
GOLDEN_SET,please could i checkout,CheckoutRequest,,
GOLDEN_SET,please could i check out,CheckoutRequest,,
GOLDEN_SET,please could i check me out,CheckoutRequest,,
GOLDEN_SET,what time does the sauna open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the steam bath open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the steam room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the cafe open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the coffee shop open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel cafe open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the pool open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the swimming pool open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the pools open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel swimming pool open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel pools open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel pool open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel swimming bath open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the business center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the business room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the copy room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the printer room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel business room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel business center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel copy room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel printer room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the conference open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the conference room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the conference center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the conferencing center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the meeting room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel conference center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel conferencing center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel conference center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel meeting room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the shop open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the souvenir shop open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the gift shop open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel shop open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel shopping center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel souvenir shop open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel gift shop open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the bar open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the lounge open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel bar open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel pub open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel tavern open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the pub open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the restaurant open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the dining open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the chophouse open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the canteen open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the bistro open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the diner open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the grill open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel restaurant open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel chophouse open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel canteen open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel bistro open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel diner open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel grill open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the gym open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the fitness center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the hotel fitness center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the fitness open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the workout center open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the weight room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the workout room open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the treadmills open,PropertyFeatureOperatingHours,,
GOLDEN_SET,what time does the weights open,PropertyFeatureOperatingHours,,
